Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
England,"3,318,449","1,827,610","1,145,022","3,080,929","650,826","1,314,124","1,375,315","3,595,321","3,650,881","3,509,221","3,549,116","3,885,934","3,879,815","3,400,095","2,996,992","3,172,277","2,508,154","2,044,129","1,669,345","1,258,773","1,180,128"
Darlington,"6,579","3,790","2,284","6,224","1,330","2,721","2,357","6,071","6,607","6,429","6,847","7,641","7,994","7,258","6,308","6,685","5,205","4,512","3,526","2,646","2,550"
County Durham,"28,574","15,818","9,841","27,869","5,882","12,107","15,278","35,155","30,628","28,133","30,498","37,519","39,537","35,713","32,950","35,395","27,874","23,009","17,850","12,785","10,827"
Hartlepool,"5,698","3,202","1,990","5,653","1,257","2,570","2,451","5,955","5,622","5,033","5,373","6,463","7,267","6,464","5,595","5,837","4,236","3,938","3,327","2,241","1,856"
Middlesbrough,"9,431","5,178","3,098","8,485","1,811","3,747","4,506","11,690","9,765","8,295","8,135","8,984","9,899","9,233","7,933","7,531","5,680","5,153","4,278","3,115","2,465"
Northumberland,"16,003","9,863","6,482","17,677","3,841","7,631","6,992","16,224","16,187","16,121","17,907","22,128","24,842","24,121","22,172","24,533","19,062","15,304","12,249","8,769","7,920"
Redcar and Cleveland,"7,553","4,362","2,736","7,803","1,712","3,608","3,515","8,092","7,628","6,987","7,654","9,479","10,398","9,429","8,458","9,511","7,776","6,642","5,017","3,704","3,113"
Stockton-on-Tees,"12,322","6,824","4,149","11,457","2,355","5,168","5,296","12,651","12,602","11,445","12,003","14,087","14,644","13,399","11,609","11,648","8,745","7,357","6,089","4,279","3,481"
Gateshead,"11,869","6,323","3,987","10,880","2,439","4,778","4,953","12,104","14,059","13,110","12,880","14,476","15,053","13,790","11,672","12,596","9,646","8,962","7,293","5,119","4,225"
Newcastle upon Tyne,"16,522","8,534","5,501","14,488","2,929","6,156","13,311","36,012","22,948","18,053","16,697","17,222","17,956","16,629","14,367","14,133","10,289","9,091","7,857","6,000","5,482"
