Area,All_ages,16_19,20_21,22_24,25_29,30_34,35_49,40_44,45_49,50-54,55_59,60_64,65+
E02000372 : Hammersmith and Fulham 001,"1,453",10,33,100,258,247,201,160,125,152,94,50,23
E02000373 : Hammersmith and Fulham 002,721,7,20,67,115,106,77,72,108,69,43,25,12
E02000374 : Hammersmith and Fulham 003,"1,175",8,18,122,303,235,133,106,89,72,41,28,20
E02000375 : Hammersmith and Fulham 004,"1,350",7,24,146,378,269,148,106,88,71,61,32,20
E02000376 : Hammersmith and Fulham 005,"1,569",8,36,158,430,355,180,128,117,81,47,17,12
E02000377 : Hammersmith and Fulham 006,"1,500",11,25,120,380,264,209,159,108,98,74,31,21
E02000378 : Hammersmith and Fulham 007,"1,518",12,28,121,443,335,200,127,90,68,45,33,16
E02000379 : Hammersmith and Fulham 008,"1,346",5,31,74,281,318,185,126,106,87,78,30,25
E02000380 : Hammersmith and Fulham 009,"1,159",4,17,97,226,233,158,123,102,82,63,36,18
E02000381 : Hammersmith and Fulham 010,"1,672",8,11,105,432,364,248,147,131,87,60,48,31
E02000382 : Hammersmith and Fulham 011,"1,113",7,25,62,245,224,159,108,92,80,47,38,26
E02000383 : Hammersmith and Fulham 012,"1,950",8,26,160,553,424,225,165,112,103,87,52,35
E02000384 : Hammersmith and Fulham 013,"1,319",10,16,124,369,244,161,92,93,79,69,41,21
E02000385 : Hammersmith and Fulham 014,"1,707",7,8,172,561,384,213,123,91,55,47,33,13
E02000386 : Hammersmith and Fulham 015,"1,417",13,25,142,353,295,133,160,110,72,57,40,17
E02000387 : Hammersmith and Fulham 016,"1,276",9,28,134,312,232,152,115,85,85,72,36,16
E02000388 : Hammersmith and Fulham 017,"1,963",9,29,230,608,416,229,147,103,84,55,34,19
E02000389 : Hammersmith and Fulham 018,"1,768",9,20,181,448,339,211,165,132,108,83,45,27
E02000390 : Hammersmith and Fulham 019,"1,379",12,21,160,410,301,148,89,81,59,51,32,15
E02000391 : Hammersmith and Fulham 020,"1,478",16,17,157,401,303,172,115,98,81,59,40,19
E02000392 : Hammersmith and Fulham 021,"2,119",8,29,254,669,450,242,143,125,62,68,40,29
E02000393 : Hammersmith and Fulham 022,"1,516",3,18,163,474,327,202,101,84,56,44,24,20
E02000394 : Hammersmith and Fulham 023,"1,480",16,18,153,438,279,181,137,89,61,55,32,21
E02000395 : Hammersmith and Fulham 024,"1,237",6,11,137,353,244,155,90,79,59,43,34,26
E02000396 : Hammersmith and Fulham 025,"1,229",6,19,128,317,206,142,110,96,94,51,40,20
