Area,All,Not_working,Families_working,Families_notworking_pct,Families_fulltime,Families_parttime,Families_fulltime_pct
E01001916 : Hammersmith and Fulham 024B,11.0,6.0,5.0,45.45454545454545,5.0,6.0,54.54545454545455
E01001926 : Hammersmith and Fulham 024C,12.0,7.0,5.0,41.666666666666664,2.0,10.0,83.33333333333333
E01001925 : Hammersmith and Fulham 025A,13.0,8.0,5.0,38.46153846153846,3.0,10.0,76.92307692307692
E01001913 : Hammersmith and Fulham 014C,14.0,6.0,8.0,57.142857142857146,4.0,10.0,71.42857142857143
E01001950 : Hammersmith and Fulham 021D,14.0,6.0,8.0,57.142857142857146,6.0,8.0,57.142857142857146
E01001869 : Hammersmith and Fulham 010D,15.0,5.0,10.0,66.66666666666667,5.0,10.0,66.66666666666667
E01001924 : Hammersmith and Fulham 020E,15.0,5.0,10.0,66.66666666666667,6.0,9.0,60.0
E01001867 : Hammersmith and Fulham 012B,16.0,5.0,11.0,68.75,5.0,11.0,68.75
E01001904 : Hammersmith and Fulham 022A,16.0,8.0,8.0,50.0,5.0,11.0,68.75
E01001927 : Hammersmith and Fulham 008C,17.0,8.0,9.0,52.94117647058823,7.0,10.0,58.8235294117647
E01001906 : Hammersmith and Fulham 022C,17.0,12.0,5.0,29.41176470588235,4.0,13.0,76.47058823529412
E01001889 : Hammersmith and Fulham 014A,20.0,10.0,10.0,50.0,6.0,14.0,70.0
E01001888 : Hammersmith and Fulham 018A,21.0,8.0,13.0,61.904761904761905,8.0,13.0,61.904761904761905
E01001907 : Hammersmith and Fulham 022D,21.0,10.0,11.0,52.38095238095238,7.0,14.0,66.66666666666667
E01001905 : Hammersmith and Fulham 022B,22.0,7.0,15.0,68.18181818181819,7.0,15.0,68.18181818181819
E01001915 : Hammersmith and Fulham 024A,23.0,9.0,14.0,60.869565217391305,7.0,16.0,69.56521739130434
E01001929 : Hammersmith and Fulham 009D,24.0,7.0,17.0,70.83333333333333,10.0,14.0,58.333333333333336
E01001872 : Hammersmith and Fulham 012F,24.0,12.0,12.0,50.0,7.0,17.0,70.83333333333333
E01001882 : Hammersmith and Fulham 017C,24.0,10.0,14.0,58.333333333333336,8.0,16.0,66.66666666666667
E01001891 : Hammersmith and Fulham 018B,24.0,10.0,14.0,58.333333333333336,8.0,16.0,66.66666666666667
E01001949 : Hammersmith and Fulham 021C,24.0,15.0,9.0,37.5,6.0,18.0,75.0
E01001866 : Hammersmith and Fulham 012A,25.0,9.0,16.0,64.0,13.0,12.0,48.0
E01001871 : Hammersmith and Fulham 012E,25.0,12.0,13.0,52.0,10.0,15.0,60.0
E01001922 : Hammersmith and Fulham 020C,25.0,13.0,12.0,48.0,4.0,21.0,84.0
E01001851 : Hammersmith and Fulham 010A,26.0,12.0,14.0,53.84615384615385,7.0,19.0,73.07692307692308
E01001910 : Hammersmith and Fulham 014B,26.0,11.0,15.0,57.69230769230769,3.0,23.0,88.46153846153847
E01001952 : Hammersmith and Fulham 024D,26.0,13.0,13.0,50.0,9.0,17.0,65.38461538461539
